cazyid	EC
AA10	EC:1.14.99.54, EC:1.14.99.56, EC:1.14.99.53
AA15	EC:1.14.99.54, EC:1.14.99.53
AA16	EC:1.14.99.54
AA1	EC:1.10.3.2
AA2	EC:1.11.1.13, EC:1.11.1.16, EC:1.11.1.14
AA3	EC:1.1.99.18, EC:1.1.3.4, EC:1.1.3.7, EC:1.1.3.13, EC:1.1.3.10
AA4	EC:1.1.3.38
AA5	EC:1.1.3.9, EC:1.2.3.15, EC:1.1.3.13
AA9	EC:1.14.99.54, EC:1.14.99.56
CE10	EC:3.1.1.3, EC:3.1.1.7, EC:3.1.1.8, EC:3.1.1.13
CE11	EC:3.5.1.10
CE12	EC:3.1.1.72
CE14	EC:3.5.1.89
CE16	EC:3.1.1.6
CE1	EC:3.1.1.72, EC:3.1.1.73, EC:3.1.1.1, EC:3.1.2.12, EC:2.3.1.20, EC:2.3.1.12
CE2	EC:3.1.1.72
CE3	EC:3.1.1.72
CE4	EC:3.1.1.72, EC:3.5.1.41
CE5	EC:3.1.1.72, EC:3.1.1.74
CE6	EC:3.1.1.72
CE7	EC:3.1.1.72, EC:3.1.1.41
CE8	EC:3.1.1.11
CE9	EC:3.5.1.25, EC:3.5.1.80
GH100	EC:3.2.1.26
GH101	EC:3.2.1.97
GH105	EC:3.2.1.17
GH106	EC:3.2.1.40, EC:3.2.1.17
GH108	EC:3.2.1.17
GH109	EC:3.2.1.49
GH10	EC:3.2.1.8, EC:3.2.1.32, EC:3.2.1.4
GH110	EC:3.2.1.22
GH112	EC:2.4.1.21, EC:2.4.1.24
GH113	EC:3.2.1.78
GH114	EC:3.2.1.10
GH116	EC:3.2.1.21, EC:3.2.1.37, EC:3.2.1.45, EC:3.2.1.52
GH118	EC:3.2.1.81
GH119	EC:3.2.1.1
GH11	EC:3.2.1.8, EC:3.2.1.32
GH120	EC:3.2.1.37
GH122	EC:3.2.1.20
GH123	EC:3.2.1.53
GH124	EC:3.2.1.4
GH127	EC:3.2.1.18
GH128	EC:3.2.1.39
GH129	EC:3.2.1.49
GH12	EC:3.2.1.4, EC:3.2.1.15, EC:3.2.1.73, EC:2.4.1.20
GH130	EC:2.4.1.28, EC:2.4.1.31, EC:2.4.1.32
GH133	EC:3.2.1.33
GH134	EC:3.2.1.78
GH136	EC:3.2.1.14
GH137	EC:3.2.1.18
