sequence	EC	count	dbcan_column
04f716b8f78b0e3fd75f4f79c6d933a6	EC:1.10.3.2	0	AA1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:1.1.99.18	0	AA3
04f716b8f78b0e3fd75f4f79c6d933a6	EC:1.1.3.9	0	AA5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.3	0	CE10
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.7	0	CE10
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.8	0	CE10
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.13	0	CE10
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.5.1.10	0	CE11
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.72	0	CE12, CE1, CE2, CE3, CE4, CE5, CE6, CE7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.5.1.89	0	CE14
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.73	0	CE1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.1	0	CE1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.2.12	0	CE1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.3.1.20	0	CE1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.3.1.12	0	CE1
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.5.1.41	0	CE4
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.74	0	CE5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.41	0	CE7
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.1.1.11	0	CE8
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.5.1.25	1	CE9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.26	1	GH100, GH32, GH68
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.97	0	GH101
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.17	0	GH105, GH106, GH108, GH16, GH17, GH18, GH19, GH1, GH22, GH23, GH24, GH25, GH28, GH31, GH38, GH48, GH63, GH73, GH78, GH7, GH86
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.40	0	GH106, GH28, GH78
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.8	0	GH10, GH11, GH141, GH30, GH43, GH51, GH5, GH8, GH98
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.4	0	GH10, GH124, GH12, GH44, GH45, GH48, GH51, GH5, GH6, GH74, GH7, GH8, GH9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.22	0	GH110, GH27, GH31, GH36, GH4, GH57, GH97
04f716b8f78b0e3fd75f4f79c6d933a6	EC:2.4.1.21	0	GH112, GH65, GT10, GT1, GT20, GT2, GT55, GT5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.78	0	GH113, GH134, GH26, GH45, GH5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.10	0	GH114, GH13, GH16, GH1, GH26, GH31, GH5, GH63, GH65, GH76, GH98
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.21	0	GH116, GH1, GH3, GH5, GH9
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.37	0	GH116, GH120, GH1, GH2, GH30, GH39, GH3, GH43, GH51, GH52, GH54
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.45	0	GH116, GH30, GH3, GH5
04f716b8f78b0e3fd75f4f79c6d933a6	EC:3.2.1.52	0	GH116, GH20, GH3, GH5, GH84
